symbol,HEK293T_HS_rep1,HEK293T_HS_rep2,HEK293T_CTRL_rep1,HEK293T_CTRL_rep2,U2OS_ERR468934,U2OS_ERR468935,U2OS_ERR468936,U2OS_ERR468937,U2OS_ERR468932,U2OS_ERR468933
7SK,41.16001646400658,34.5600224640146,2434.116713942436,2434.116713942436,0.0,0.0,0.0,0.0,0.0,0.0
A1BG,6.040002416000966,5.420003523002291,7.699989605014032,7.699989605014032,0.0893087511591159,0.8505768895990892,0.3639531683260656,0.7204198967368131,0.8132685670343394,0.7452119434000352
A1BG-AS1,6.130002452000981,7.070004595502987,8.919987958016256,8.919987958016256,3.0364975394099423,2.7407477553748425,2.8206370545270087,1.6209447676578297,1.9879898305283847,1.210969408025057
A1CF,0.0100000040000016,0.0500000325000211,0.1599997840002915,0.1599997840002915,0.0,0.1890170865775753,0.0909882920815164,0.0,0.0903631741149265,0.2794544787750131
A2M,0.050000020000008,1.0400006760004394,1.2299983395022416,1.2299983395022416,19.37999900152816,17.578589051714506,17.742716955895702,22.0628593375649,18.705177041789806,24.40569114635115
A2M-AS1,0.1100000440000176,0.2500001625001056,0.179999757000328,0.179999757000328,3.929585051001102,3.3077990151075687,3.912496559505205,2.2513121773025406,2.078353004643312,2.608241801900123
A2ML1,0.0100000040000016,0.0400000260000169,0.3099995815005649,0.3099995815005649,0.6251612581138117,0.0945085432887876,0.3639531683260656,0.6303674096447114,1.0843580893791191,1.0246664221750483
A2MP1,0.0,0.0400000260000169,0.0599999190001093,0.0599999190001093,0.1786175023182319,0.0,0.0,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.1399998110002551,0.1399998110002551,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,5.340002136000854,4.150002697501754,1.609997826502934,1.609997826502934,5.894377576501653,4.3473929912842335,6.187203861543116,3.421994509499862,2.8012583975627248,4.750726139175224
A4GNT,0.0,0.0600000390000253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931514929250044
AAAS,72.72002908801163,70.62004590302985,67.16990932062241,67.16990932062241,103.6874600957336,119.08076454387248,106.0013602749666,89.87238211791743,91.17644268196094,92.77888695330437
AACS,15.780006312002524,15.300009945006463,15.679978832028574,15.679978832028574,55.90727822560659,49.61698522661353,53.22815086768711,51.96028505214264,46.62739784330213,49.18398826440232
AACSP1,0.0400000160000064,0.0,0.0,0.0,7.234008843888392,6.426580943637562,5.6412741090540175,3.3319420224077603,3.885616486941844,4.284968674550202
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900524870921016,0.0,0.0931514929250044
AADACL3,0.0100000040000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0300000195000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0999998650001822,0.0999998650001822,0.0,0.0945085432887876,0.0,0.1801049741842032,0.0903631741149265,0.1863029858500088
AADAT,12.050004820001927,21.450013942509063,14.239980776025952,14.239980776025952,20.808939020074018,18.14564031144723,19.835447673770577,19.72149467317026,18.07263482298532,17.41932917697582
AAGAB,39.82001592800637,43.90002853501855,64.72991261461797,64.72991261461797,91.8093961915712,84.77416333004255,89.71445599237518,87.17080750515439,97.23077534766102,87.46925185657912
AAK1,18.99000759600304,21.42001392300905,21.259971299038742,21.259971299038742,101.81197632139218,97.4383081307401,109.64089195822729,89.42211968245692,86.47755762798475,84.39525259005397
AAMDC,9.830003932001572,10.660006929004505,18.37997518703349,18.37997518703349,8.484331360116016,12.002584997676037,6.551157029869182,11.166508399420604,9.488133282067292,10.432967207600491
AAMP,127.73005109202045,124.2700807755525,142.01980827325883,142.01980827325883,85.73640111275131,91.01172718710252,82.34440433377235,123.10174985490296,127.95425454673608,137.30530057145646
AANAT,0.25000010000004,0.4100002665001732,0.979998677001786,0.979998677001786,0.6251612581138117,0.0945085432887876,0.7279063366521312,0.5403149225526097,0.5421790446895596,0.2794544787750131
AAR2,14.140005656002264,12.220007943005164,30.87995831205628,30.87995831205628,63.31990457181321,66.06147175886258,70.33394977901219,36.471257272301166,42.01887596344086,41.07980837992693
AARD,0.4100001640000656,0.4300002795001816,0.5199992980009477,0.5199992980009477,7.05539134157016,8.694785982568467,6.915110198195247,5.042939277157691,4.789248228091109,4.191817181625197
AARS1,145.13005805202323,137.88008962205825,99.11986618818064,99.11986618818064,169.24008344652472,156.3171305996548,155.7719560435561,150.47770593090183,158.94882326815588,155.74929617060732
AARS2,14.320005728002291,13.930009054505886,21.949970367540004,21.949970367540004,26.881934098893904,23.72164436548571,29.48020663441132,20.53196705699917,21.05461956877789,20.40017695057596
AARSD1,18.02000720800288,18.920012298007997,37.989948713569234,37.989948713569234,2.4113362812961308,3.1187819285299936,1.9107541337118448,0.990577358013118,0.4518158705746329,0.7452119434000352
AARSD1P1,0.4800001920000767,0.930000604500393,0.9399987310017128,0.9399987310017128,0.0893087511591159,0.283525629866363,0.1819765841630328,0.0,0.0,0.0
AASDH,6.75000270000108,9.150005947503866,9.62998699951755,9.62998699951755,10.895667641412146,12.475127714119974,11.6465013864341,6.303674096447114,5.6025167951254495,5.123332110875241
AASDHPPT,20.290008116003246,27.73001802451172,60.07991889210949,60.07991889210949,46.88709435853588,46.30918621150596,45.13019287243214,39.08277939797211,33.43437442252284,32.88247700252655
AASDHPPT-AS1,0.0,0.5600003640002367,0.2699996355004921,0.2699996355004921,0.0,0.0,0.0909882920815164,0.0,0.0,0.0
AASS,13.93000557200223,26.710017361511287,20.839971866037978,20.839971866037978,10.002580129820988,11.152008108076949,11.19155992602652,9.275406170486468,11.385759938480753,9.96720974297547
AATBC,0.4600001840000736,0.8200005330003465,1.6199978130029524,1.6199978130029524,0.4465437557955797,0.567051259732726,0.2729648762445492,1.0806298451052194,1.2650844376089725,0.5589089575500263
AATK,2.480000992000397,3.3500021775014157,1.7699976105032256,1.7699976105032256,2.322027530137015,1.6066452359093906,2.001742425793361,3.421994509499862,1.807263482298532,1.5835753797250745
ABAT,8.770003508001402,7.110004621503005,8.259988849015054,8.259988849015054,25.452994080348045,23.91066145206328,25.84067495115066,20.80212451827548,24.39805701103018,24.03308517465113
ABCA1,0.50000020000008,0.7100004615002999,0.7799989470014215,0.7799989470014215,1.071705013909391,1.417628149331815,2.4566838862009432,1.3507873063815246,1.2650844376089725,1.0246664221750483
ABCA10,0.100000040000016,0.0600000390000253,0.2999995950005467,0.2999995950005467,0.1786175023182319,0.0945085432887876,0.0,0.0,0.0,0.0
ABCA11P,1.920000768000307,2.470001605501044,7.699989605014032,7.699989605014032,0.2679262534773478,0.6615598030215137,0.0909882920815164,0.1801049741842032,0.0903631741149265,0.2794544787750131
ABCA12,0.0200000080000032,0.0200000130000084,0.0699999055001275,0.0699999055001275,0.8930875115911595,0.7560683463103014,0.454941460407582,0.3602099483684065,0.2710895223447798,0.0
ABCA13,0.0300000120000047,0.0200000130000084,0.0699999055001275,0.0699999055001275,13.03907766923093,12.380619170831183,14.103185272635043,9.99582606722328,11.92793898317031,10.060361235900476
ABCA15P,3.1300012520005005,3.36000218400142,2.169997070503954,2.169997070503954,0.1786175023182319,0.4725427164439383,0.3639531683260656,1.981154716026236,1.1747212634940458,1.117817915100053
ABCA17P,0.300000120000048,0.4100002665001732,1.7599976240032074,1.7599976240032074,2.500645032455247,1.417628149331815,1.6377892574672954,1.2607348192894228,1.355447611723899,0.8383634363250395
ABCA2,42.59001703600682,39.7500258375168,15.789978683528776,15.789978683528776,46.52985935389941,31.660362001743877,49.31565430818189,51.419970129590034,54.57935716541567,61.75943980927791
ABCA3,35.50001420000568,33.54002180101418,25.789965183547,25.789965183547,4.8226725625922615,4.441901534573021,4.367438019912788,5.673306686802403,6.506148536274715,6.054847040125285
ABCA3P1,0.0,0.0600000390000253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,0.050000020000008,0.1500000975000633,0.0499999325000911,0.0499999325000911,5.2692163183878415,2.646239212086055,3.457555099097624,3.151837048223557,3.885616486941844,2.7945447877501315
